Match ID,Tanggal ,Liga,Blue Team,Blue Team Heroes,Red Team,Red Team Heroes,Winner
MPLID_S14_GRP_W1_D1_M1_G1,08/09/2024,MPL Indonesia,Team Liquid ID,"Edith,Julian,Luo Yi,Moskov,Minotaur",Fnatic Onic,"Arlott,Roger,Valentina,Harith,Chou",Red Team
MPLID_S14_GRP_W1_D1_M1_G2,08/09/2024,MPL Indonesia,Fnatic Onic,"Thamuz,Nolan,Va;entina,Harith,Minotaur",Team Liquid ID,"Arlott,Joy,Vexana,Roger,Edith",Blue Team
MPLID_S14_GRP_W1_D1_M2_G1,08/09/2024,MPL Indonesia,Dewa United Esport,"Hylos,Julian,Valentina,Claude,Edith",EVOS Glory,"Ruby,Nolan,Vexana,Moskov,Khufra",Blue Team
MPLID_S14_GRP_W1_D1_M2_G2,08/09/2024,MPL Indonesia,Dewa United Esport,"X.Borg,Julian,Valentina,Moskov,Arlott",EVOS Glory,"Hylos,Roger,Zask,Claude,Guinevere",Red Team
MPLID_S14_GRP_W1_D1_M2_G3,08/09/2024,MPL Indonesia,Dewa United Esport,"Paquito,Julian,Valentina,Moskov,Hylos",EVOS Glory,"X.Borg,Roger,Novaria,Harith,Guinevere",Blue Team
MPLID_S14_GRP_W1_D2_M1_G1,08/10/2024,MPL Indonesia,Team Liquid ID,"Barats,Nolan,Zask,Moskov,Minotaur",Bigetron Alpha,"Terizla,Roger,Valentina,Ruby,Mathilda",Red Team
MPLID_S14_GRP_W1_D2_M1_G2,08/10/2024,MPL Indonesia,Team Liquid ID,"Edith,Roger,Valentina,Harith,Chou",Bigetron Alpha,"Arlott,Yin,Luo Yi,Moskov,Ruby",Red Team
MPLID_S14_GRP_W1_D2_M2_G1,08/10/2024,MPL Indonesia,RRQ,"Edith,Alpha,Zhuxin,Karrie,Ruby",EVOS Glory,"Terizla,Hayabusa,Zask,Roger,Carmilla",Blue Team
MPLID_S14_GRP_W1_D2_M2_G2,08/10/2024,MPL Indonesia,RRQ,"Edith,Nolan,Yve,Claude,Ruby",EVOS Glory,"Yu Zhong,Alpha,Zhuxin,Roger,Minotaur",Blue Team
MPLID_S14_GRP_W1_D2_M3_G1,08/10/2024,MPL Indonesia,Geek Fam ID,"Arlott,Julian,Zhuxin,Moskov,Helcurt",Alter Ego,"Hylos,Lancelot,Valentina,Karrie,Edith",Blue Team
MPLID_S14_GRP_W1_D2_M3_G2,08/10/2024,MPL Indonesia,Geek Fam ID,"Arlott,Roger,Zask,Karrie,Edith",Alter Ego,"Terizla,Alpha,Valentina,Moskov,Ruby",Red Team
MPLID_S14_GRP_W1_D2_M3_G3,08/10/2024,MPL Indonesia,Geek Fam ID,"Arlott,Julian,Lylia,Roger,Khufra",Alter Ego,"Ruby,Hayabusa,Zask,Claude,Tigreal",Red Team
MPLID_S14_GRP_W1_D3_M1_G1,08/11/2024,MPL Indonesia,RBL,"Barats,Hayabusa,Zask,Moskov,Edith",Fnatic Onic,"Arlott,Roger,Aurora,Harith,Grock",Red Team
