Week;Home Team;Score Home;Score Away;Away team
Week 1;Bigetron by Vitality;2;1;Alter Ego
Week 1;NAVI;2;0;RRQ
Week 1;EVOS;2;0;Geek Fam ID
Week 1;Alter Ego;0;2;Onic
Week 1;Team Liquid ID;2;1;NAVI
Week 1;Dewa United Esport;2;0;Bigetron by Vitality
Week 1;EVOS;0;2;Team Liquid ID
Week 1;RRQ;0;2;Onic
Week 2;Onic;2;0;Geek Fam ID
Week 2;Dewa United Esport;2;0;NAVI
Week 2;Geek Fam ID;2;0;Bigetron by Vitality
Week 2;Alter Ego;2;1;EVOS
Week 2;Team Liquid ID;2;1;Dewa United Esport
Week 2;NAVI;1;2;Alter Ego
Week 2;RRQ;0;2;Team Liquid ID
Week 2;Bigetron by Vitality;2;1;EVOS
Week 3;Onic;2;1;Dewa United Esport
Week 3;NAVI;0;2;EVOS
Week 3;Team Liquid ID;0;2;Geek Fam ID
Week 3;Onic;1;2;Bigetron by Vitality
Week 3;RRQ;1;2;Alter Ego
Week 3;Bigetron by Vitality;1;2;NAVI
Week 3;Geek Fam ID;2;1;RRQ
Week 3;Alter Ego;0;2;Dewa United Esport
Week 4;NAVI;0;2;Onic
Week 4;EVOS;2;0;Dewa United Esport
Week 4;Team Liquid ID;1;2;Bigetron by Vitality
Week 4;RRQ;0;2;EVOS
Week 4;Geek Fam ID;1;2;Alter Ego
Week 4;Onic;2;0;Team Liquid ID
Week 4;Bigetron by Vitality;2;1;RRQ
Week 4;Dewa United Esport;2;0;Geek Fam ID
Week 5;Geek Fam ID;0;2;NAVI
Week 5;EVOS;0;2;Onic
Week 5;Dewa United Esport;2;0;RRQ
Week 5;Alter Ego;1;2;Team Liquid ID
Week 5;EVOS;0;2;Bigetron by Vitality
Week 5;Alter Ego;2;1;NAVI
Week 5;Geek Fam ID;2;1;Onic
Week 5;Dewa United Esport;2;0;Team Liquid ID
Week 6;NAVI;1;2;Dewa United Esport
Week 6;Alter Ego;2;1;Geek Fam ID
Week 6;EVOS;2;1;Alter Ego
Week 6;Team Liquid ID;0;2;Onic
Week 6;RRQ;2;0;Bigetron by Vitality
Week 6;NAVI;1;2;Team Liquid ID
Week 6;Onic;2;0;RRQ
Week 6;Geek Fam ID;2;0;EVOS
Week 7;Geek Fam ID;1;2;Dewa United Esport
Week 7;Bigetron by Vitality;0;2;Team Liquid ID
Week 7;Dewa United Esport;;;Alter Ego
Week 7;EVOS;2;0;RRQ
Week 7;Onic;2;0;NAVI
Week 7;RRQ;0;2;Geek Fam ID
Week 7;NAVI;2;1;Bigetron by Vitality
Week 7;Team Liquid ID;0;2;EVOS
Week 8;Bigetron by Vitality;0;2;Geek Fam ID
Week 8;Dewa United Esport;0;2;Onic
Week 8;EVOS;0;2;NAVI
Week 8;Team Liquid ID;2;0;RRQ
Week 8;Onic;2;1;Alter Ego
Week 8;Dewa United Esport;0;2;EVOS
Week 8;Alter Ego;0;2;Bigetron by Vitality
Week 8;RRQ;0;2;NAVI
Week 9;Bigetron by Vitality;;;Dewa United Esport
Week 9;Team Liquid ID;;;Alter Ego
Week 9;Geek Fam ID;;;Team Liquid ID
Week 9;Alter Ego;;;RRQ
Week 9;Bigetron by Vitality;;;Onic
Week 9;RRQ;;;Dewa United Esport
Week 9;Onic;;;EVOS
Week 9;NAVI;;;Geek Fam ID
